# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
Phi;(T x);R;437
Phi_approx;(T x);R;437
abs;(T x);R;420
abs;(int x);int;429
abs;(real x);real;429
acos;(T x);R;434
acosh;(T x);R;435
algebra_solver;(function algebra_system, vector y_guess, vector theta, real[] x_r, int[] x_i);vector;483
algebra_solver;(function algebra_system, vector y_guess, vector theta, real[] x_r, int[] x_i, real rel_tol, real f_tol, int max_steps);vector;484
append_array;(T x, T y);T;450
append_col;(matrix x, matrix y);matrix;464
append_col;(matrix x, vector y);matrix;464
append_col;(real x, row_vector y);row_vector;465
append_col;(row_vector x, real y);row_vector;465
append_col;(row_vector x, row_vector y);row_vector;465
append_col;(vector x, matrix y);matrix;465
append_col;(vector x, vector y);matrix;465
append_row;(matrix x, matrix y);matrix;465
append_row;(matrix x, row_vector y);matrix;465
append_row;(real x, vector y);vector;465
append_row;(row_vector x, matrix y);matrix;465
append_row;(row_vector x, row_vector y);matrix;465
append_row;(vector x, real y);vector;465
append_row;(vector x, vector y);vector;465
asin;(T x);R;434
asinh;(T x);R;435
atan2;(real x, real y);real;434
atan;(T x);R;434
atanh;(T x);R;435
bernoulli;~;real;495
bernoulli_cdf;(ints y, reals theta);real;495
bernoulli_lccdf;(ints y | reals theta);real;495
bernoulli_lcdf;(ints y | reals theta);real;495
bernoulli_logit;~;real;496
bernoulli_logit_lpmf;(ints y | reals alpha);real;496
bernoulli_logit_rng;(real alpha);int;496
bernoulli_lpmf;(ints y | reals theta);real;495
bernoulli_rng;(real theta);int;495
bessel_first_kind;(int v, real x);real;440
bessel_second_kind;(int v, real x);real;440
beta;~;real;530
beta_binomial;~;real;499
beta_binomial_cdf;(ints n, ints N, reals alpha, reals beta);real;499
beta_binomial_lccdf;(ints n | ints N, reals alpha, reals beta);real;500
beta_binomial_lcdf;(ints n | ints N, reals alpha, reals beta);real;499
beta_binomial_lpmf;(ints n | ints N, reals alpha, reals beta);real;499
beta_binomial_rng;(int N, real alpha, real beta);int;500
beta_cdf;(reals theta, reals alpha, reals beta);real;530
beta_lccdf;(reals theta | reals alpha, reals beta);real;530
beta_lcdf;(reals theta | reals alpha, reals beta);real;530
beta_lpdf;(reals theta | reals alpha, reals beta);real;530
beta_rng;(real alpha, real beta);real;531
binary_log_loss;(int y, real y_hat);real;437
binomial;~;real;497
binomial_cdf;(ints n, ints N, reals theta);real;497
binomial_coefficient_log;(real x, real y);real;440
binomial_lccdf;(ints n | ints N, reals theta);real;498
binomial_lcdf;(ints n | ints N, reals theta);real;498
binomial_logit;~;real;498
binomial_logit_lpmf;(ints n | ints N, reals alpha);real;499
binomial_lpmf;(ints n | ints N, reals theta);real;497
binomial_rng;(int N, real theta);int;498
block;(matrix x, int i, int j, int n_rows, int n_cols);matrix;463
categorical;~;real;501
categorical_logit;~;real;501
categorical_logit_lpmf;(ints y | vector beta);real;501
categorical_logit_rng;(vector beta);int;501
categorical_lpmf;(ints y | vector theta);real;501
categorical_rng;(vector theta);int;501
cauchy;~;real;514
cauchy_cdf;(reals y, reals mu, reals sigma);real;514
