# This file is semicolon delimited
StanFunction; Arguments; ReturnType
Phi; (T x); R
Phi_approx; (T x); R
abs; (T x); T
abs; (complex z); real
acos; (T x); R
acos; (complex z); complex
acosh; (T x); R
acosh; (complex z); complex
add_diag; (complex_matrix m, complex_real d); complex_matrix
add_diag; (complex_matrix m, complex_row_vector d); complex_matrix
add_diag; (complex_matrix m, complex_vector d); complex_matrix
add_diag; (matrix m, real d); matrix
add_diag; (matrix m, row_vector d); matrix
add_diag; (matrix m, vector d); matrix
algebra_solver; (function algebra_system, vector y_guess, vector theta, data array[] real x_r, array[] int x_i, data real rel_tol, data real f_tol, int max_steps); vector
algebra_solver_newton; (function algebra_system, vector y_guess, vector theta, data array[] real x_r, array[] int x_i); vector
algebra_solver_newton; (function algebra_system, vector y_guess, vector theta, data array[] real x_r, array[] int x_i, data real rel_tol, data real f_tol, int max_steps); vector
append_array; (T x, T y); T
append_col; (complex x, complex_row_vector y); complex_row_vector
append_col; (complex_matrix x, complex_matrix y); complex_matrix
append_col; (complex_matrix x, complex_vector y); complex_matrix
append_col; (complex_row_vector x, complex y); complex_row_vector
append_col; (complex_row_vector x, complex_row_vector y); complex_row_vector
append_col; (complex_vector x, complex_matrix y); complex_matrix
append_col; (complex_vector x, complex_vector y); complex_matrix
append_col; (matrix x, matrix y); matrix
append_col; (matrix x, vector y); matrix
append_col; (real x, row_vector y); row_vector
append_col; (row_vector x, real y); row_vector
append_col; (row_vector x, row_vector y); row_vector
append_col; (vector x, matrix y); matrix
append_col; (vector x, vector y); matrix
append_row; (complex x, complex_vector y); complex_vector
append_row; (complex_matrix x, complex_matrix y); complex_matrix
append_row; (complex_matrix x, complex_row_vector y); complex_matrix
append_row; (complex_row_vector x, complex_matrix y); complex_matrix
append_row; (complex_row_vector x, complex_row_vector y); complex_matrix
append_row; (complex_vector x, complex y); complex_vector
append_row; (complex_vector x, complex_vector y); complex_vector
append_row; (matrix x, matrix y); matrix
append_row; (matrix x, row_vector y); matrix
append_row; (real x, vector y); vector
append_row; (row_vector x, matrix y); matrix
append_row; (row_vector x, row_vector y); matrix
append_row; (vector x, real y); vector
append_row; (vector x, vector y); vector
arg; (complex z); real
asin; (T x); R
asin; (complex z); complex
asinh; (T x); R
asinh; (complex z); complex
atan2; (real y, real x); real
atan; (T x); R
atan; (complex z); complex
atanh; (T x); R
atanh; (complex z); complex
bernoulli; ~; real
bernoulli_cdf; (ints y, reals theta); real
bernoulli_lccdf; (ints y | reals theta); real
bernoulli_lcdf; (ints y | reals theta); real
bernoulli_logit; ~; real
bernoulli_logit_glm; ~; real
bernoulli_logit_glm_lpmf; (array[] int y | matrix x, real alpha, vector beta); real
bernoulli_logit_glm_lpmf; (array[] int y | matrix x, vector alpha, vector beta); real
bernoulli_logit_glm_lpmf; (array[] int y | row_vector x, real alpha, vector beta); real
bernoulli_logit_glm_lpmf; (array[] int y | row_vector x, vector alpha, vector beta); real
bernoulli_logit_glm_lpmf; (int y | matrix x, real alpha, vector beta); real
bernoulli_logit_glm_lpmf; (int y | matrix x, vector alpha, vector beta); real
bernoulli_logit_glm_lupmf; (array[] int y | matrix x, real alpha, vector beta); real
bernoulli_logit_glm_lupmf; (array[] int y | matrix x, vector alpha, vector beta); real
bernoulli_logit_glm_lupmf; (array[] int y | row_vector x, real alpha, vector beta); real
bernoulli_logit_glm_lupmf; (array[] int y | row_vector x, vector alpha, vector beta); real
bernoulli_logit_glm_lupmf; (int y | matrix x, real alpha, vector beta); real
bernoulli_logit_glm_lupmf; (int y | matrix x, vector alpha, vector beta); real
bernoulli_logit_glm_rng; (matrix x, vector alpha, vector beta); array[] int
bernoulli_logit_glm_rng; (row_vector x, vector alpha, vector beta); array[] int
bernoulli_logit_lpmf; (ints y | reals alpha); real
bernoulli_logit_lupmf; (ints y | reals alpha); real
bernoulli_logit_rng; (reals alpha); R
bernoulli_lpmf; (ints y | reals theta); real
bernoulli_lupmf; (ints y | reals theta); real
bernoulli_rng; (reals theta); R
bessel_first_kind; (T1 x, T2 y); R
bessel_first_kind; (int v, real x); real
bessel_second_kind; (T1 x, T2 y); R
bessel_second_kind; (int v, real x); real
beta; (T1 x, T2 y); R
beta; (real alpha, real beta); real
beta; ~; real
beta_binomial; ~; real
beta_binomial_cdf; (ints n, ints N, reals alpha, reals beta); real
beta_binomial_lccdf; (ints n | ints N, reals alpha, reals beta); real
beta_binomial_lcdf; (ints n | ints N, reals alpha, reals beta); real
beta_binomial_lpmf; (ints n | ints N, reals alpha, reals beta); real
beta_binomial_lupmf; (ints n | ints N, reals alpha, reals beta); real
beta_binomial_rng; (ints N, reals alpha, reals beta); R
beta_cdf; (reals theta, reals alpha, reals beta); real
beta_lccdf; (reals theta | reals alpha, reals beta); real
beta_lcdf; (reals theta | reals alpha, reals beta); real
beta_lpdf; (reals theta | reals alpha, reals beta); real
beta_lupdf; (reals theta | reals alpha, reals beta); real
beta_proportion; ~; real
beta_proportion_lccdf; (reals theta | reals mu, reals kappa); real
beta_proportion_lcdf; (reals theta | reals mu, reals kappa); real
beta_proportion_lpdf; ~; real
beta_proportion_lupdf; ~; real
beta_proportion_rng; (reals mu, reals kappa); R
beta_rng; (reals alpha, reals beta); R
binary_log_loss; (T1 x, T2 y); R
binary_log_loss; (int y, real y_hat); real
binomial; ~; real
binomial_cdf; (ints n, ints N, reals theta); real
binomial_coefficient_log; (T1 x, T2 y); R
binomial_coefficient_log; (real x, real y); real
binomial_lccdf; (ints n | ints N, reals theta); real
binomial_lcdf; (ints n | ints N, reals theta); real
binomial_logit; ~; real
binomial_logit_lpmf; (ints n | ints N, reals alpha); real
binomial_logit_lupmf; (ints n | ints N, reals alpha); real
binomial_lpmf; (ints n | ints N, reals theta); real
binomial_lupmf; (ints n | ints N, reals theta); real
binomial_rng; (ints N, reals theta); R
block; (complex_matrix x, int i, int j, int n_rows, int n_cols); complex_matrix
block; (matrix x, int i, int j, int n_rows, int n_cols); matrix
categorical; ~; real
categorical_logit; ~; real
categorical_logit_glm; ~; real
categorical_logit_glm_lpmf; (array[] int y | matrix x, vector alpha, matrix beta); real
categorical_logit_glm_lpmf; (array[] int y | row_vector x, vector alpha, matrix beta); real
categorical_logit_glm_lpmf; (int y | matrix x, vector alpha, matrix beta); real
categorical_logit_glm_lpmf; (int y | row_vector x, vector alpha, matrix beta); real
categorical_logit_glm_lupmf; (array[] int y | matrix x, vector alpha, matrix beta); real
categorical_logit_glm_lupmf; (array[] int y | row_vector x, vector alpha, matrix beta); real
categorical_logit_glm_lupmf; (int y | matrix x, vector alpha, matrix beta); real
categorical_logit_glm_lupmf; (int y | row_vector x, vector alpha, matrix beta); real
categorical_logit_lpmf; (ints y | vector beta); real
categorical_logit_lupmf; (ints y | vector beta); real
categorical_logit_rng; (vector beta); int
categorical_lpmf; (ints y | vector theta); real
categorical_lupmf; (ints y | vector theta); real
categorical_rng; (vector theta); int
cauchy; ~; real
cauchy_cdf; (reals y, reals mu, reals sigma); real
cauchy_lccdf; (reals y | reals mu, reals sigma); real
cauchy_lcdf; (reals y | reals mu, reals sigma); real
cauchy_lpdf; (reals y | reals mu, reals sigma); real
cauchy_lupdf; (reals y | reals mu, reals sigma); real
cauchy_rng; (reals mu, reals sigma); R
